source_assetgroup,source_equipmenttype,source_manufacturer,source_model,source_count,canonical_key,eng_manufacturer,eng_model,eng_equipmenttype,eng_assetgroup,eng_idprefix,eng_isserialised,eng_identifiertype,eng_defaultcalintervalmonths,correction_note
Acoustics,Acoustic Calibrator,B&K,Type 4231,7,cal-bk-4231,Bruel & Kjaer,4231,AcousticCalibrator,Acoustics,AC,No,None,12.0,"Manufacturer normalized: 'B&K' is the standard abbreviation for Bruel & Kjaer, not a separate company. Merged with the 'Bruel & Kjaer / 4231' row below (same product, written two ways)."
Acoustics,Acoustic Calibrator,Bruel & Kjaer,4231,1,cal-bk-4231,Bruel & Kjaer,4231,AcousticCalibrator,Acoustics,AC,No,None,12.0,Merged into the 'B&K Type 4231' row above (identical product).
Acoustics,Acoustic Calibrator,Larson Davis,CAL200,3,cal-ld-cal200,Larson Davis,CAL200,AcousticCalibrator,Acoustics,AC,No,None,12.0,No correction needed. Calibration interval added (best judgement — no source evidence; acoustic calibrators are conventionally serviced annually).
Acoustics,Acoustic Measuring,SINUS,Soundbook,3,slm-sinus-soundbook,SINUS,Soundbook,SoundLevelMeter,Acoustics,SB,Yes,Serial,12.0,"'Acoustic Measuring' is not a curated equipment type; reclassified to SoundLevelMeter (closest fit — a Soundbook is a sound-level analyzer). Real serials exist in the data (199430, 199431, 202171), so isserialised=Yes. Calibration interval is best judgement, flagged — no source evidence for this product line."
Acoustics,"Microphone, Sound Level Meter",Larson Davis,831C,5,slm-ld-831c,Larson Davis,831C,SoundLevelMeter,Acoustics,SLM-LD,Yes,Serial,12.0,"Prefix corrected DST-LD → SLM-LD. DST is the non-serialised Communications/SIM prefix family and would collide with it; SLM-LD matches the SLM-* convention already used for other sound level meters (SLM-S50, SLM-C50, SLM-UA). 3 of these 5 rows carry a Pre Amp Serial and an Element Serial (the only 3 in the entire 1,053-row export) — see 'Larson Davis 831C Pre-Amp' and 'Larson Davis 831C Element' below, created as permanent Component models per Q5."
Air Quailty Monitroing,Dust Sentry,Aeroqual,PCX,2,dust-aeroqual-pcx,Aeroqual,PCX,DustMonitor,AirQuality,AQDS,Yes,Serial,12.0,Asset group misspelling 'Air Quailty Monitroing' corrected to 'AirQuality'. Equipment type 'Dust Sentry' mapped to the curated DustMonitor type. Interval is best judgement.
Communications,Cellular Service,,SIM / ISP,232,sim,"N/A (service, not a manufactured unit)",SIM Card,CellularService,Communications,DST,No,ICCID,,No correction needed beyond an explicit manufacturer placeholder (source is blank because a SIM has no manufacturer in the usual sense). Never calibrated.
Communications,Server,Instantel,,2,srv-instantel,Instantel,Vision (station server),Server,Communications,SRV,No,None,,"ASSUMPTION: Q6 (open — servers as assets vs. configuration). Kept as trackable Server assets: 'Vision' / 'Vision II' read as named physical station-server appliances, not cloud resources. Never calibrated, never checked out."
Communications,Server,Microsoft,Azure,13,excluded-azure,,,EXCLUDED,,,,,,"ASSUMPTION: Q6 (open). Excluded from the registry, not loaded as an asset: 'Microsoft / Azure' reads as a cloud hosting resource, not a physical, individually trackable instrument — the recommendation's own fallback branch when the row denotes a hosted endpoint rather than a box. All 13 rows are reported by 02_clean.py as excluded, with the reason, so they are not silently dropped. Flagged for Jay to confirm or reverse; if these are actually physical appliances, un-exclude them here and re-run."
Communications,Server,Sigicom,,1,srv-sigicom,Sigicom,INFRANet (station server),Server,Communications,SRV,No,None,,"ASSUMPTION: Q6 (open), same reasoning as the Instantel servers — 'INFRANet' reads as a named physical appliance. Never calibrated, never checked out."
General,Bluetooth Asset Tracker,Apple,AirTag,8,tracker-airtag,Apple,AirTag,AssetTracker,General,AT,No,None,,No correction needed. Not calibrated.
Geomatics,Automated Total Station,Settop M1,,5,ts-settop-m1,Settop,M1,AutomatedTotalStation,Geomatics,TS,Yes,Serial,12.0,"Source packs manufacturer and model into one field ('Settop M1' in the Manufacturer column, Model blank). Split into manufacturer 'Settop' / model 'M1' rather than guessing a different brand name — flagged for field verification since 'Settop' is not a manufacturer we could independently confirm. One asset in this group (serial field reads 'no Settop now', a note rather than a serial) is handled by 02_clean.py as a missing serial, not stored as data."
Geomatics,Automated Total Station,Trimble,"S7 - 1"" Autolock AMTS",2,ts-trimble-s7-1-amts,Trimble,"S7 - 1"" Autolock AMTS",AutomatedTotalStation,Geomatics,TS,Yes,Serial,12.0,No correction needed. Interval best judgement.
Geomatics,Field Controller,Leica,CS20,1,fc-leica-cs20,Leica,CS20,FieldController,Geomatics,FC,Yes,Serial,,"No correction needed. A data collector/tablet, not a sensor — not calibrated."
Geomatics,Total Station,Leica,TS10,2,ts-leica-ts10,Leica,TS10,TotalStation,Geomatics,TS,Yes,Serial,12.0,No correction needed. Interval best judgement (annual angular-accuracy certification is conventional for total stations).
Geomatics,Total Station,Leica,TS16,1,ts-leica-ts16,Leica,TS16,TotalStation,Geomatics,TS,Yes,Serial,12.0,No correction needed. Interval best judgement.
Geomatics,Total Station,Trimble,"S5 - 2"" Autolock",2,ts-trimble-s5-2,Trimble,"S5 - 2"" Autolock",TotalStation,Geomatics,TS,Yes,Serial,12.0,No correction needed. Interval best judgement.
Geomatics,Total Station,Trimble,S5 - 3s Robotic,1,ts-trimble-s5-3s,Trimble,S5 - 3s Robotic,TotalStation,Geomatics,TS,Yes,Serial,12.0,No correction needed. Interval best judgement.
Geomatics,Total Station,Trimble,S7 - 2s Robotic,3,ts-trimble-s7-2s,Trimble,S7 - 2s Robotic,TotalStation,Geomatics,TS,Yes,Serial,12.0,No correction needed. Interval best judgement.
Geotechnical Monitoring,,Campbell Scientific,VW-Analyzer,1,vwr-campbell,Campbell Scientific,VW-Analyzer,VWReadout,GeotechnicalMonitoring,VWR,Yes,Serial,24.0,"Equipment type was blank in source; set to VWReadout (a vibrating-wire analyzer). Merged with the 'VWANALYZER' and 'VWANALZYER' rows below (same product, two more misspellings of the same model name). Interval is best judgement — flagged, geotechnical VW readouts are often serviced less often than seismographs."
Geotechnical Monitoring,,Campbell Scientific,VWANALYZER,1,vwr-campbell,Campbell Scientific,VW-Analyzer,VWReadout,GeotechnicalMonitoring,VWR,Yes,Serial,24.0,Misspelling of 'VW-Analyzer'; merged into that canonical row.
